Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0568A","UKA00213","Newcastle Centre - UKA00213","GB_SamplingPoint_65080","PM2.5","-1.610530","54.978250","45.000000","m","urban","background","24/08/2008 00:00:00","","GB_SamplingFeature_1045","3.2","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_1045","24/08/2008 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0568A","UKA00213","Newcastle Centre - UKA00213","GB_SamplingPoint_65080","PM2.5","-1.610530","54.978250","45.000000","m","urban","background","24/08/2008 00:00:00","","GB_SamplingFeature_1045","3.2","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7602","24/08/2008 00:00:00","","automatic","BETA","","BAM1020heated","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0568A","UKA00213","Newcastle Centre - UKA00213","GB_SamplingPoint_65080","PM2.5","-1.610530","54.978250","45.000000","m","urban","background","24/08/2008 00:00:00","","GB_SamplingFeature_1045","3.2","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7735","24/08/2008 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0580A","UKA00217","Cardiff Centre - UKA00217","GB_SamplingPoint_65089","PM2.5","-3.176250","51.481780","12.000000","m","urban","background","12/08/2008 00:00:00","","GB_SamplingFeature_818","3.1","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7721","12/08/2008 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0580A","UKA00217","Cardiff Centre - UKA00217","GB_SamplingPoint_65089","PM2.5","-3.176250","51.481780","12.000000","m","urban","background","12/08/2008 00:00:00","","GB_SamplingFeature_818","3.1","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7800","12/08/2008 00:00:00","","automatic","BETA","","BAM1020heated","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0580A","UKA00217","Cardiff Centre - UKA00217","GB_SamplingPoint_65089","PM2.5","-3.176250","51.481780","12.000000","m","urban","background","12/08/2008 00:00:00","","GB_SamplingFeature_818","3.1","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_818","12/08/2008 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0583A","UKA00220","Middlesbrough - UKA00220","GB_SamplingPoint_65321","PM2.5","-1.220870","54.569300","10.000000","m","urban","industrial","13/11/2008 00:00:00","","GB_SamplingFeature_1024","4.0","m","","m","","","1724.0","m","","","","0","","","","","","","","","","","","","","","GB_StationProcess_1024","13/11/2008 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0583A","UKA00220","Middlesbrough - UKA00220","GB_SamplingPoint_65321","PM2.5","-1.220870","54.569300","10.000000","m","urban","industrial","13/11/2008 00:00:00","","GB_SamplingFeature_1024","4.0","m","","m","","","1724.0","m","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7599","13/11/2008 00:00:00","","automatic","BETA","","BAM1020heated","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0583A","UKA00220","Middlesbrough - UKA00220","GB_SamplingPoint_65321","PM2.5","-1.220870","54.569300","10.000000","m","urban","industrial","13/11/2008 00:00:00","","GB_SamplingFeature_1024","4.0","m","","m","","","1724.0","m","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7733","13/11/2008 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0584A","UKA00222","Leeds Centre - UKA00222","GB_SamplingPoint_65284","PM2.5","-1.546470","53.803780","78.000000","m","urban","background","02/12/2008 00:00:00","","GB_SamplingFeature_983","3.2","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7589","02/12/2008 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","4","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
