Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Albania","AL.AEF.AQ","2024","NET-AL002A","Institute for Public Health","UTC+01","AL0202A","AL360A02","Tirana IPH","SPO-AL0202A_00007_100","O3","19.851670","41.345600","207.000000","m","suburban","background","06/01/2010 00:00:00","","SPO_F-AL0202A_00007_100_100","3.0","m","","","","","","","","","","0","","","","","Tirana","","","","","","","","","","SPP-AL_A_UV-P_API400E","06/01/2010 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","NA","","","NA","NA","1","hour","10","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.917.7.1","O3","16.526170","47.840110","165.000000","m","suburban","background","01/05/1993 00:00:00","","SAM.01.0001.917.7.1","4.0","m","50.0","m","40.0","m","","m","Other","","","0","","","","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","14580","SPP.01.0001.917.7.1.17134","01/05/1993 00:00:00","","automatic","UV-P","","horibaAPOA350E","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.8","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.917.7.1","O3","16.526170","47.840110","165.000000","m","suburban","background","01/05/1993 00:00:00","","SAM.01.0001.917.7.1","4.0","m","50.0","m","40.0","m","","m","Other","","","0","","","","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","14580","SPP.01.0001.917.7.1.2551","01/05/1993 00:00:00","","automatic","UV-P","","thermo49c","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.4","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.917.7.1","O3","16.526170","47.840110","165.000000","m","suburban","background","01/05/1993 00:00:00","","SAM.01.0001.917.7.1","4.0","m","50.0","m","40.0","m","","m","Other","","","0","","","","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","14580","SPP.01.0001.917.7.1.2552","01/05/1993 00:00:00","","automatic","UV-P","","APIT400","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.1","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.917.7.1","O3","16.526170","47.840110","165.000000","m","suburban","background","01/05/1993 00:00:00","","SAM.01.0001.917.7.1","4.0","m","50.0","m","40.0","m","","m","Other","","","0","","","","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","14580","SPP.01.0001.917.7.1.6280","01/05/1993 00:00:00","","automatic","UV-P","","horibaAPOA350E","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.8","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10002","010002","Oberschützen","SPO.01.0002.918.7.1","O3","16.207860","47.339920","344.000000","m","rural","background","22/10/2008 00:00:00","15/06/2023 00:00:00","SAM.01.0002.918.7.1","4.0","m","15.0","m","","","","m","Other","","","0","","","","t.year-1","7432 Oberschützen","open","hilly","","","","","","","","SPP.01.0002.918.7.1.2553","22/10/2008 00:00:00","15/06/2023 00:00:00","automatic","UV-P","","thermo49c","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.4","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10002","010002","Oberschützen","SPO.01.0002.918.7.1","O3","16.207860","47.339920","344.000000","m","rural","background","22/10/2008 00:00:00","15/06/2023 00:00:00","SAM.01.0002.918.7.1","4.0","m","15.0","m","","","","m","Other","","","0","","","","t.year-1","7432 Oberschützen","open","hilly","","","","","","","","SPP.01.0002.918.7.1.2554","22/10/2008 00:00:00","15/06/2023 00:00:00","automatic","UV-P","","API400E","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.2","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10002","010002","Oberschützen","SPO.01.0002.918.7.1","O3","16.207860","47.339920","344.000000","m","rural","background","22/10/2008 00:00:00","15/06/2023 00:00:00","SAM.01.0002.918.7.1","4.0","m","15.0","m","","","","m","Other","","","0","","","","t.year-1","7432 Oberschützen","open","hilly","","","","","","","","SPP.01.0002.918.7.1.6789","22/10/2008 00:00:00","15/06/2023 00:00:00","automatic","UV-P","","APIT400","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.1","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10003","010003","Kittsee","SPO.01.0003.16.7.1","O3","17.070320","48.109150","136.000000","m","rural-nearcity","background","31/07/1988 00:00:00","","SAM.01.0003.16.7.1","4.0","m","1000.0","m","1200.0","m","7500.0","m","Other","","","0","","","","t.year-1","2421 Kittsee","open","plane","","","","","","","","SPP.01.0003.16.7.1.15592","31/07/1988 00:00:00","","automatic","UV-P","","ML8810","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.5","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10003","010003","Kittsee","SPO.01.0003.16.7.1","O3","17.070320","48.109150","136.000000","m","rural-nearcity","background","31/07/1988 00:00:00","","SAM.01.0003.16.7.1","4.0","m","1000.0","m","1200.0","m","7500.0","m","Other","","","0","","","","t.year-1","2421 Kittsee","open","plane","","","","","","","","SPP.01.0003.16.7.1.15593","31/07/1988 00:00:00","","automatic","UV-P","","ML8810","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.5","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
